Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Allactaga_severtzovi,Rodentia,Dipodidae,NA,2.2013971243204513,mam
Allactaga_sibirica,Rodentia,Dipodidae,NA,1.9890046156985368,mam
Allactaga_tetradactyla,Rodentia,Dipodidae,NA,1.7160033436347992,mam
Allactaga_vinogradovi,Rodentia,Dipodidae,NA,1.8762178405916423,mam
Allactaga_williamsi,Rodentia,Dipodidae,NA,2,mam
Allactodipus_bobrinskii,Rodentia,Dipodidae,NA,1.845098040014257,mam
Allenopithecus_nigroviridis,Primates,Cercopithecidae,NA,3.6766936096248664,mam
Allocebus_trichotis,Primates,Cheirogaleidae,NA,1.8893017025063104,mam
Allochrocebus_lhoesti,Primates,Cercopithecidae,NA,3.730378468587643,mam
Allochrocebus_preussi,Primates,Cercopithecidae,NA,3.720159303405957,mam
Allochrocebus_solatus,Primates,Cercopithecidae,NA,3.8129133566428557,mam
Allocricetulus_curtatus,Rodentia,Cricetidae,NA,1.6794278966121188,mam
Allocricetulus_eversmanni,Rodentia,Cricetidae,NA,2.0629578340845103,mam
Alouatta_arctoidea,Primates,Atelidae,NA,3.7315887651867388,mam
Alouatta_belzebul,Primates,Atelidae,NA,3.806179973983887,mam
Alouatta_caraya,Primates,Atelidae,NA,3.7680828557231396,mam
Alouatta_discolor,Primates,Atelidae,NA,3.7967685429030853,mam
Alouatta_guariba,Primates,Atelidae,NA,3.747349650382109,mam
Alouatta_macconnelli,Primates,Atelidae,NA,3.8782229716471037,mam
Alouatta_nigerrima,Primates,Atelidae,NA,3.8843421476470588,mam
Alouatta_palliata,Primates,Atelidae,NA,3.861832997657945,mam
Alouatta_pigra,Primates,Atelidae,NA,3.845098040014257,mam
Alouatta_sara,Primates,Atelidae,NA,3.8202671571609645,mam
Alouatta_seniculus,Primates,Atelidae,NA,3.7885572230088234,mam
Alouatta_ululata,Primates,Atelidae,NA,3.82491297072193,mam
Alticola_albicaudus,Rodentia,Cricetidae,NA,1.4913616938342726,mam
Alticola_argentatus,Rodentia,Cricetidae,NA,1.5763413502057928,mam
Alticola_barakshin,Rodentia,Cricetidae,NA,1.5440680443502757,mam
Alticola_lemminus,Rodentia,Cricetidae,NA,1.1903316981702914,mam
Alticola_macrotis,Rodentia,Cricetidae,NA,1.5563025007672873,mam
Alticola_montosa,Rodentia,Cricetidae,NA,1.294466226161593,mam
Alticola_olchonensis,Rodentia,Cricetidae,NA,1.5211380837040362,mam
Alticola_roylei,Rodentia,Cricetidae,NA,1.568201724066995,mam
Alticola_semicanus,Rodentia,Cricetidae,NA,1.7259116322950483,mam
Alticola_stoliczkanus,Rodentia,Cricetidae,NA,1.4393326938302626,mam
Alticola_strelzowi,Rodentia,Cricetidae,NA,1.6989700043360187,mam
Alticola_tuvinicus,Rodentia,Cricetidae,NA,1.5211380837040362,mam
Amblyrhiza_inundata,Rodentia,Echimyidae,NA,4.969999860022617,mam
Amblysomus_corriae,Afrosoricida,Chrysochloridae,NA,1.7168377232995244,mam
Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,NA,1.720985744153739,mam
Amblysomus_marleyi,Afrosoricida,Chrysochloridae,NA,1.5563025007672873,mam
Amblysomus_robustus,Afrosoricida,Chrysochloridae,NA,1.7067177823367587,mam
Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,NA,1.8055008581584002,mam
Ammodillus_imbellis,Rodentia,Muridae,NA,1.6989700043360187,mam
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,NA,4.4479297690072945,mam
Ammospermophilus_harrisii,Rodentia,Sciuridae,NA,2.0863598306747484,mam
Ammospermophilus_interpres,Rodentia,Sciuridae,NA,2.0425755124401905,mam
Ammospermophilus_leucurus,Rodentia,Sciuridae,NA,2.080987046910887,mam
Ammospermophilus_nelsoni,Rodentia,Sciuridae,NA,2.2052043639481447,mam
Ammotragus_lervia,Cetartiodactyla,Bovidae,NA,4.681241237375588,mam
Amphinectomys_savamis,Rodentia,Cricetidae,NA,2.3370597263205246,mam
Anathana_ellioti,Scandentia,Tupaiidae,NA,2.2041199826559246,mam
Andalgalomys_olrogi,Rodentia,Cricetidae,NA,1.5171958979499742,mam
Andalgalomys_pearsoni,Rodentia,Cricetidae,NA,1.404833716619938,mam
Andinomys_edax,Rodentia,Cricetidae,NA,1.8432327780980093,mam
Anisomys_imitator,Rodentia,Muridae,NA,2.707995746422929,mam
Anomalurus_beecrofti,Rodentia,Anomaluridae,NA,2.5899496013257077,mam
Anomalurus_derbianus,Rodentia,Anomaluridae,NA,2.8129133566428557,mam
Anomalurus_pelii,Rodentia,Anomaluridae,NA,3.247973266361807,mam
Anomalurus_pusillus,Rodentia,Anomaluridae,NA,2.3979400086720375,mam
Anonymomys_mindorensis,Rodentia,Muridae,NA,1.7752462597402365,mam
Anotomys_leander,Rodentia,Cricetidae,NA,1.8221680793680175,mam
Anourosorex_assamensis,Eulipotyphla,Soricidae,NA,1.4014005407815442,mam
Anourosorex_schmidi,Eulipotyphla,Soricidae,NA,1.5705429398818975,mam
