Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Heterocephalus_glaber,Rodentia,Bathyergidae,4.045322978786658,1.7403626894942439,density
Heterohyrax_brucei,Hyracoidea,Procaviidae,3.7598166122725254,3.4191293077419758,density
Heteromys_anomalus,Rodentia,Heteromyidae,2.401521161385542,1.845098040014257,density
Heteromys_desmarestianus,Rodentia,Heteromyidae,2.817201652663046,1.8603380065709938,density
Lagostrophus_fasciatus,Diprotodontia,Macropodidae,1.9444333177002147,3.230448921378274,density
Lagothrix_lagotricha,Primates,Atelidae,1.0301947853567512,3.8317994115955805,density
Lama_guanicoe,Cetartiodactyla,Camelidae,-0.3467874862246563,5.079181246047625,density
Eudorcas_thomsonii,Cetartiodactyla,Bovidae,1.09795107099415,4.31174962401575,density
Eulemur_coronatus,Primates,Lemuridae,2.0085150076314546,3.2174839442139063,density
Eulemur_fulvus,Primates,Lemuridae,2.3443922736851106,3.3979400086720375,density
Eulemur_macaco,Primates,Lemuridae,1.7311857076340005,3.278753600952829,density
Eulemur_mongoz,Primates,Lemuridae,2.5399538416563967,3.130333768495006,density
Eulemur_rubriventer,Primates,Lemuridae,1.4771212547196624,3.3010299956639813,density
Galagoides_zanzibaricus,Primates,Galagidae,2.2278867046136734,2.002166061756508,density
Galemys_pyrenaicus,Eulipotyphla,Talpidae,0.6211762817750351,1.7795964912578246,density
Herpestes_pulverulentus,Carnivora,Herpestidae,1,2.9014583213961123,density
Herpestes_sanguineus,Carnivora,Herpestidae,0.12057393120584989,2.7403626894942437,density
Galidia_elegans,Carnivora,Eupleridae,1.2000292665537702,2.9030899869919438,density
Gazella_dorcas,Cetartiodactyla,Bovidae,0.36172783601759284,4.361729724250366,density
Gazella_gazella,Cetartiodactyla,Bovidae,-0.3979400086720376,4.356979492002202,density
Gazella_subgutturosa,Cetartiodactyla,Bovidae,-0.1938200260161128,4.45484486000851,density
Bassaricyon_gabbii,Carnivora,Procyonidae,0.7795964912578245,3.0969100130080562,density
Bassariscus_astutus,Carnivora,Procyonidae,0.5538830266438743,3.052886235256382,density
Bassariscus_sumichrasti,Carnivora,Procyonidae,1.252610340567373,2.9542425094393248,density
Bathyergus_suillus,Rodentia,Bathyergidae,1.845098040014257,2.7958800173440754,density
Batomys_granti,Rodentia,Muridae,2.5837200679321994,2.249931756634195,density
Beatragus_hunteri,Cetartiodactyla,Bovidae,-0.37675070960209955,4.903089986991944,density
Bettongia_gaimardi,Diprotodontia,Potoroidae,1.2787536009528289,3.220108088040055,density
Bettongia_lesueur,Diprotodontia,Potoroidae,1.2304489213782739,3.1760912590556813,density
Bettongia_penicillata,Diprotodontia,Potoroidae,1.2489536154957075,3.113943352306837,density
Bettongia_tropica,Diprotodontia,Potoroidae,1.3010299956639813,3.0791812460476247,density
Bradypus_tridactylus,Pilosa,Bradypodidae,2.1800398109271764,3.5854607295085006,density
Bradypus_variegatus,Pilosa,Bradypodidae,2.7062397100486146,3.636989101812229,density
Bubalus_arnee,Cetartiodactyla,Bovidae,0.02530586526477026,5.860338006570994,density
Hoolock_hoolock,Primates,Hylobatidae,0.8450980400142568,3.8129133566428557,density
Chelemys_macronyx,Rodentia,Cricetidae,2.420071324796761,1.865103974641128,density
Chinchilla_lanigera,Rodentia,Chinchillidae,2.9817914346116443,2.6201360549737576,density
Chiropotes_albinasus,Primates,Pitheciidae,0.8175653695597808,3.462397997898956,density
Chiropotes_satanas,Primates,Pitheciidae,1.1931245983544616,3.4771212547196626,density
Burramys_parvus,Diprotodontia,Burramyidae,3.787105383983776,1.6180480967120927,density
Cabassous_unicinctus,Cingulata,CingulataFam,-0.20760831050174613,3.681241237375587,density
Cacajao_calvus,Primates,Pitheciidae,1.1789769472931695,3.763128376799137,density
Capra_walie,Cetartiodactyla,Bovidae,0.60959440922522,5,density
Capreolus_capreolus,Cetartiodactyla,Cervidae,0.8813846567705729,4.352182518111363,density
Capreolus_pygargus,Cetartiodactyla,Cervidae,1.9030899869919435,4.640999895617493,density
Capricornis_crispus,Cetartiodactyla,Bovidae,0.2966651902615311,4.570075705321604,density
Castor_canadensis,Rodentia,Castoridae,-0.2218487496163564,4.3388547462523235,density
Catagonus_wagneri,Cetartiodactyla,Tayassuidae,0.9656719712201067,4.551039908501546,density
Cavia_aperea,Rodentia,Caviidae,3.256950942299387,2.739572344450092,density
Cebus_albifrons,Primates,Cebidae,1.2250506961380487,3.419790586106363,density
Sapajus_apella,Primates,Cebidae,1.3760291817281802,3.3979400086720375,density
Cebus_capucinus,Primates,Cebidae,1.4356851379416298,3.436639631692661,density
Cebus_brunneus,Primates,Cebidae,1.3942765267678214,3.3797948432769815,density
Cephalophus_adersi,Cetartiodactyla,Bovidae,0.5622928644564748,3.9661417327390325,density
Cheirogaleus_major,Primates,Cheirogaleidae,1.8324450411741109,2.6532125137753435,density
Cheirogaleus_medius,Primates,Cheirogaleidae,2.345256072776664,2.2576785748691846,density
Choloepus_didactylus,Pilosa,Megalonychidae,1.7275412570285564,3.7126497016272113,density
Choloepus_hoffmanni,Pilosa,Megalonychidae,2.0734250567459815,3.6766936096248664,density
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,3,1.6901960800285136,density
Chrysochloris_stuhlmanni,Afrosoricida,Chrysochloridae,3,1.5998830720736879,density
Chrysospalax_trevelyani,Afrosoricida,Chrysochloridae,3,2.629919035503542,density
