Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Microsciurus_santanderensis,Rodentia,Sciuridae,1.999130541287371,2.2716305937669024,2.267392636395859,0.329691819792997,1.6197736942974403,2.934422882631685,186.90916347098906,185.09412593547495,41.66522143668941,859.8503703014693
Microtus_abbreviatus,Rodentia,Cricetidae,1.792391689498254,3.3177354478078196,3.3159320386813973,0.18001261541178723,2.9523061942837088,3.656441578253685,2078.4302174617947,2069.817424508851,895.9962546711291,4533.583074448697
Microtus_agrestis,Rodentia,Cricetidae,1.6283889300503116,3.3565712771432388,3.355071290883598,0.2215648684066207,2.920052662699778,3.7873823211550044,2272.852629070727,2265.016087001571,831.8646371819682,6128.896976512763
Microtus_anatolicus,Rodentia,Cricetidae,1.7201593034059568,3.354558299220124,3.356731973335036,0.23097751722819074,2.912177210501568,3.8166266513472955,2262.3422137512966,2273.6937780094718,816.915639463362,6555.814422277757
Microtus_arvalis,Rodentia,Cricetidae,1.4471580313422192,3.53759929495563,3.542589056257295,0.21205045661358402,3.1477671814646744,3.9864390447857954,3448.254367540527,3488.1010366607516,1405.2939658651887,9692.572200749282
Microtus_bavaricus,Rodentia,Cricetidae,1.380211241711606,3.5103010999577378,3.5108781487435214,0.2281497335716353,3.0675028195000342,3.9751314634877666,3238.1808487933986,3242.486292116277,1168.161313702036,9443.466923090844
Microtus_brachycercus,Rodentia,Cricetidae,1.3579348470004537,3.520546913552197,3.523433160553029,0.22845674948967212,3.0692684258773824,3.9669283446010595,3315.4838254475135,3337.5913450932458,1172.9200922952173,9266.769158821628
Microtus_breweri,Rodentia,Cricetidae,1.7323937598229686,3.3674604920143967,3.366610187348477,0.17007767597437348,3.022502343746867,3.6954330075453696,2330.561093333991,2326.002554488766,1053.1793707828435,4959.444191784947
Microtus_cabrerae,Rodentia,Cricetidae,1.7201593034059568,3.339783665847178,3.338851188689938,0.19215785804733743,2.9350060558378215,3.697863102959823,2186.6721104559742,2181.9821260235763,861.0057580356959,4987.272553290575
Microtus_californicus,Rodentia,Cricetidae,1.7589118923979734,3.361698818079687,3.363372427513642,0.17991696210002706,3.0088612869351,3.7134621680802717,2299.8463277100846,2308.726179056037,1020.613449099991,5169.662224516897
Microtus_canicaudus,Rodentia,Cricetidae,1.4548448600085102,3.5076545663779317,3.5078172707088973,0.17123099822450621,3.167439302605283,3.839109287890977,3218.507803010534,3219.7138124948315,1470.4128947895654,6904.1352086350425
Microtus_chrotorrhinus,Rodentia,Cricetidae,1.591064607026499,3.415010248954935,3.414128576472561,0.17443243954952978,3.0856097035696246,3.7628504103599916,2600.220925291075,2594.9475040720913,1217.8945963652222,5792.291507087628
Microtus_clarkei,Rodentia,Cricetidae,1.7427251313046983,3.3003525710703454,3.2993748747429663,0.25122446008615157,2.8344841189759107,3.828462315666312,1996.8827762562487,1992.3923922007384,683.0997383348308,6736.93435621831
Microtus_daghestanicus,Rodentia,Cricetidae,1.3010299956639813,3.5502132812811595,3.548734545271961,0.22615095282080522,3.1117611917982124,3.9958073676151793,3549.8768027886804,3537.8103265943523,1293.484389574644,9903.925564015532
Microtus_dogramacii,Rodentia,Cricetidae,1.4471580313422192,3.491489152886579,3.4911636276724476,0.22673795727922008,3.0531151814123887,3.948787307011187,3100.909937992991,3098.5865233484433,1130.0955932377428,8887.657438271679
Microtus_duodecimcostatus,Rodentia,Cricetidae,1.3617278360175928,3.5172942619349463,3.519214272835671,0.22665238227983736,3.074079736155761,3.9827469105485442,3290.7452412478406,3305.325794525515,1185.9864744464548,9610.520524686068
Microtus_evoronensis,Rodentia,Cricetidae,1.8122446968003694,3.27103957816441,3.270432962302503,0.25176141505204563,2.7699218266296786,3.763623416926626,1866.549785669634,1863.944437576408,588.7376725434456,5802.610465042582
Microtus_felteni,Rodentia,Cricetidae,1.3222192947339193,3.5382454797582836,3.5389159327904887,0.22691735628645665,3.093741572967592,3.9844316007701446,3453.3888284992713,3458.724201630548,1240.913681879653,9647.87350610163
Microtus_fortis,Rodentia,Cricetidae,1.7993405494535817,3.278385258500691,3.2759806684868966,0.2504926690980745,2.768513217108035,3.7500636147860043,1898.389217486092,1887.9073118387753,586.8312286845631,5624.237021135781
Microtus_gerbei,Rodentia,Cricetidae,1.3117538610557542,3.545384916383931,3.544930657133559,0.22733930656708434,3.0982095146869586,4.007544425727862,3510.628840994056,3506.958746255348,1253.7458679155661,10175.23447419649
Microtus_gregalis,Rodentia,Cricetidae,1.6766936096248666,3.3003793125503678,3.2982910341976748,0.26955343888199973,2.7506851406911217,3.816028738840618,1997.005737166771,1987.4263071935789,563.2291720553008,6546.794951499628
Microtus_guatemalensis,Rodentia,Cricetidae,1.6232492903979006,3.3912286681214123,3.392473129808976,0.17601193182539984,3.061298236284819,3.7521836140056566,2461.663397213751,2468.7273577942706,1151.5909315776726,5651.758732469267
Microtus_guentheri,Rodentia,Cricetidae,1.7323937598229686,3.349826704892871,3.34894724719664,0.2265017364107826,2.9095933605518667,3.8010751127657514,2237.8280071957156,2233.3009321617474,812.0698013177999,6325.212387004987
Microtus_henseli,Rodentia,Cricetidae,1.6937269489236468,3.3561969702092718,3.354018543379597,0.21629056370395855,2.928569658975962,3.784817446871992,2270.8945613941005,2259.5322450125896,848.3394415556942,6092.807358365772
Microtus_hyperboreus,Rodentia,Cricetidae,1.7075701760979363,3.349212754950706,3.34584995016851,0.2172619646651113,2.919350038971932,3.7764056940638793,2234.6666874964553,2217.430159760167,830.5198923036421,5975.932647493079
Microtus_ilaeus,Rodentia,Cricetidae,1.4082399653118496,3.529715426827231,3.535254686060078,0.22304745919546803,3.076824265354517,3.959788898487826,3386.221998957817,3429.688569793744,1193.505062108246,9115.676375855539
Microtus_irani,Rodentia,Cricetidae,1.5693739096150459,3.4285706441188104,3.431480930847158,0.2299501096001768,2.969972649549116,3.8787569867725207,2682.690949614106,2700.7285211959484,933.1955293337138,7564.095211016306
