Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,source
Cephalophus_jentinki,Cetartiodactyla,Bovidae,-1,4.8450999012723335,PanTHERIA.2008
Cephalophus_natalensis,Cetartiodactyla,Bovidae,0.8401060944567578,4.079181246047625,PanTHERIA.2008
Dendrolagus_lumholtzi,Diprotodontia,Macropodidae,2.06513137214021,3.829303772831025,PanTHERIA.2008
Dendromus_mesomelas,Rodentia,Nesomyidae,3.243987494594441,1.0453229787866574,PanTHERIA.2008
Dendromus_mystacalis,Rodentia,Nesomyidae,3.015506451739575,0.8864907251724818,PanTHERIA.2008
Desmodillus_auricularis,Rodentia,Muridae,3.1023513671690215,1.7267272090265722,PanTHERIA.2008
Dicerorhinus_sumatrensis,Perissodactyla,Rhinocerotidae,0.021189299069938092,6.102662456185154,PanTHERIA.2008
Diceros_bicornis,Perissodactyla,Rhinocerotidae,-0.958607314841775,6.072070001400344,PanTHERIA.2008
Dicrostonyx_groenlandicus,Rodentia,Cricetidae,2.7144722654394453,1.73559889969818,PanTHERIA.2008
Didelphis_albiventris,Didelphimorphia,Didelphidae,2.6020599913279625,2.9561684304753633,PanTHERIA.2008
Didelphis_aurita,Didelphimorphia,Didelphidae,1.655330558009341,3.06595298031387,PanTHERIA.2008
Didelphis_marsupialis,Didelphimorphia,Didelphidae,1.8481891169913987,3.037904357312404,PanTHERIA.2008
Didelphis_virginiana,Didelphimorphia,Didelphidae,1.2571984261393445,3.3415334414404065,PanTHERIA.2008
Elephantulus_rufescens,Macroscelidea,Macroscelididae,2.3010299956639813,1.5740312677277188,PanTHERIA.2008
Elephas_maximus,Proboscidea,Elephantidae,-0.27572413039921095,6.4996870826184034,PanTHERIA.2008
Eliomys_quercinus,Rodentia,Gliridae,2.1700562572508,2.060697840353612,PanTHERIA.2008
Heterocephalus_glaber,Rodentia,Bathyergidae,4.045322978786658,1.7403626894942439,PanTHERIA.2008
Heterohyrax_brucei,Hyracoidea,Procaviidae,3.7598166122725254,3.4191293077419758,PanTHERIA.2008
Heteromys_anomalus,Rodentia,Heteromyidae,2.401521161385542,1.845098040014257,PanTHERIA.2008
Heteromys_desmarestianus,Rodentia,Heteromyidae,2.817201652663046,1.8603380065709938,PanTHERIA.2008
Lagostrophus_fasciatus,Diprotodontia,Macropodidae,1.9444333177002147,3.230448921378274,PanTHERIA.2008
Lagothrix_lagotricha,Primates,Atelidae,1.0301947853567512,3.8317994115955805,PanTHERIA.2008
Lama_guanicoe,Cetartiodactyla,Camelidae,-0.3467874862246563,5.079181246047625,PanTHERIA.2008
Eudorcas_thomsonii,Cetartiodactyla,Bovidae,1.09795107099415,4.31174962401575,PanTHERIA.2008
Eulemur_coronatus,Primates,Lemuridae,2.0085150076314546,3.2174839442139063,PanTHERIA.2008
Eulemur_fulvus,Primates,Lemuridae,2.3443922736851106,3.3979400086720375,PanTHERIA.2008
Eulemur_macaco,Primates,Lemuridae,1.7311857076340005,3.278753600952829,PanTHERIA.2008
Eulemur_mongoz,Primates,Lemuridae,2.5399538416563967,3.130333768495006,PanTHERIA.2008
Eulemur_rubriventer,Primates,Lemuridae,1.4771212547196624,3.3010299956639813,PanTHERIA.2008
Galagoides_zanzibaricus,Primates,Galagidae,2.2278867046136734,2.002166061756508,PanTHERIA.2008
Galemys_pyrenaicus,Eulipotyphla,Talpidae,0.6211762817750351,1.7795964912578246,PanTHERIA.2008
Herpestes_pulverulentus,Carnivora,Herpestidae,1,2.9014583213961123,PanTHERIA.2008
Herpestes_sanguineus,Carnivora,Herpestidae,0.12057393120584989,2.7403626894942437,PanTHERIA.2008
Galidia_elegans,Carnivora,Eupleridae,1.2000292665537702,2.9030899869919438,PanTHERIA.2008
Gazella_dorcas,Cetartiodactyla,Bovidae,0.36172783601759284,4.361729724250366,PanTHERIA.2008
Gazella_gazella,Cetartiodactyla,Bovidae,-0.3979400086720376,4.356979492002202,PanTHERIA.2008
Gazella_subgutturosa,Cetartiodactyla,Bovidae,-0.1938200260161128,4.45484486000851,PanTHERIA.2008
Bassaricyon_gabbii,Carnivora,Procyonidae,0.7795964912578245,3.0969100130080562,PanTHERIA.2008
Bassariscus_astutus,Carnivora,Procyonidae,0.5538830266438743,3.052886235256382,PanTHERIA.2008
Bassariscus_sumichrasti,Carnivora,Procyonidae,1.252610340567373,2.9542425094393248,PanTHERIA.2008
Bathyergus_suillus,Rodentia,Bathyergidae,1.845098040014257,2.7958800173440754,PanTHERIA.2008
Batomys_granti,Rodentia,Muridae,2.5837200679321994,2.249931756634195,PanTHERIA.2008
Beatragus_hunteri,Cetartiodactyla,Bovidae,-0.37675070960209955,4.903089986991944,PanTHERIA.2008
Bettongia_gaimardi,Diprotodontia,Potoroidae,1.2787536009528289,3.220108088040055,PanTHERIA.2008
Bettongia_lesueur,Diprotodontia,Potoroidae,1.2304489213782739,3.1760912590556813,PanTHERIA.2008
Bettongia_penicillata,Diprotodontia,Potoroidae,1.2489536154957075,3.113943352306837,PanTHERIA.2008
Bettongia_tropica,Diprotodontia,Potoroidae,1.3010299956639813,3.0791812460476247,PanTHERIA.2008
Bradypus_tridactylus,Pilosa,Bradypodidae,2.1800398109271764,3.5854607295085006,PanTHERIA.2008
Bradypus_variegatus,Pilosa,Bradypodidae,2.7062397100486146,3.636989101812229,PanTHERIA.2008
Bubalus_arnee,Cetartiodactyla,Bovidae,0.02530586526477026,5.860338006570994,PanTHERIA.2008
Hoolock_hoolock,Primates,Hylobatidae,0.8450980400142568,3.8129133566428557,PanTHERIA.2008
Chelemys_macronyx,Rodentia,Cricetidae,2.420071324796761,1.865103974641128,PanTHERIA.2008
Chinchilla_lanigera,Rodentia,Chinchillidae,2.9817914346116443,2.6201360549737576,PanTHERIA.2008
Chiropotes_albinasus,Primates,Pitheciidae,0.8175653695597808,3.462397997898956,PanTHERIA.2008
Chiropotes_satanas,Primates,Pitheciidae,1.1931245983544616,3.4771212547196626,PanTHERIA.2008
Burramys_parvus,Diprotodontia,Burramyidae,3.787105383983776,1.6180480967120927,PanTHERIA.2008
Cabassous_unicinctus,Cingulata,CingulataFam,-0.20760831050174613,3.681241237375587,PanTHERIA.2008
Cacajao_calvus,Primates,Pitheciidae,1.1789769472931695,3.763128376799137,PanTHERIA.2008
Capra_walie,Cetartiodactyla,Bovidae,0.60959440922522,5,PanTHERIA.2008
Capreolus_capreolus,Cetartiodactyla,Cervidae,0.8813846567705729,4.352182518111363,PanTHERIA.2008
Capreolus_pygargus,Cetartiodactyla,Cervidae,1.9030899869919435,4.640999895617493,PanTHERIA.2008
Capricornis_crispus,Cetartiodactyla,Bovidae,0.2966651902615311,4.570075705321604,PanTHERIA.2008
Castor_canadensis,Rodentia,Castoridae,-0.2218487496163564,4.3388547462523235,PanTHERIA.2008
Catagonus_wagneri,Cetartiodactyla,Tayassuidae,0.9656719712201067,4.551039908501546,PanTHERIA.2008
Cavia_aperea,Rodentia,Caviidae,3.256950942299387,2.739572344450092,PanTHERIA.2008
Cebus_albifrons,Primates,Cebidae,1.2250506961380487,3.419790586106363,PanTHERIA.2008
Sapajus_apella,Primates,Cebidae,1.3760291817281802,3.3979400086720375,PanTHERIA.2008
Cebus_capucinus,Primates,Cebidae,1.4356851379416298,3.436639631692661,PanTHERIA.2008
Cebus_brunneus,Primates,Cebidae,1.3942765267678214,3.3797948432769815,PanTHERIA.2008
Cephalophus_adersi,Cetartiodactyla,Bovidae,0.5622928644564748,3.9661417327390325,PanTHERIA.2008
Cheirogaleus_major,Primates,Cheirogaleidae,1.8324450411741109,2.6532125137753435,PanTHERIA.2008
Cheirogaleus_medius,Primates,Cheirogaleidae,2.345256072776664,2.2576785748691846,PanTHERIA.2008
Choloepus_didactylus,Pilosa,Megalonychidae,1.7275412570285564,3.7126497016272113,PanTHERIA.2008
Choloepus_hoffmanni,Pilosa,Megalonychidae,2.0734250567459815,3.6766936096248664,PanTHERIA.2008
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,3,1.6901960800285136,PanTHERIA.2008
Chrysochloris_stuhlmanni,Afrosoricida,Chrysochloridae,3,1.5998830720736879,PanTHERIA.2008
Chrysospalax_trevelyani,Afrosoricida,Chrysochloridae,3,2.629919035503542,PanTHERIA.2008
Coendou_bicolor,Rodentia,Erethizontidae,0.7466341989375788,3.6074550232146687,PanTHERIA.2008
Coendou_prehensilis,Rodentia,Erethizontidae,1.5525465479556604,3.6434526764861874,PanTHERIA.2008
Colobus_guereza,Primates,Cercopithecidae,1.9965116721541787,4.217431299267857,PanTHERIA.2008
Colobus_polykomos,Primates,Cercopithecidae,1.3710678622717363,3.9585447719331834,PanTHERIA.2008
Colobus_satanas,Primates,Cercopithecidae,1.4243915544102774,4.078956802579085,PanTHERIA.2008
Condylura_cristata,Eulipotyphla,Talpidae,3.6989691357461862,1.9242792860618816,PanTHERIA.2008
Conepatus_semistriatus,Carnivora,Mephitidae,0.9786369483844743,3.0791812460476247,PanTHERIA.2008
Connochaetes_gnou,Cetartiodactyla,Bovidae,1.539327063539375,5.255270092349482,PanTHERIA.2008
