Binomial.1.2,log10dens.est,se.fit,log10dens.est_CIlwr,log10dens.est_CIupr,log10dens.est_PIlwr,log10dens.est_PIupr,dens.est,dens.est_CIlwr,dens.est_CIupr
Allactaga_vinogradovi,2.07028035097468,0.04554421626512943,1.980896049436279,2.1596646525130807,0.8058914032749056,3.334669298674454,117.56562337280774,95.69649895072979,144.4324081924156
Allactaga_williamsi,1.9987429806041435,0.04396715168718525,1.9124537990906407,2.0850321621176464,0.7345690683001027,3.2629168929081844,99.7109790597781,81.7436073221811,121.62760698672612
Allactodipus_bobrinskii,2.088265403993648,0.0459540145137695,1.9980768394064965,2.1784539685807998,0.823819345481809,3.3527114625054875,122.53648096561406,99.55815492883056,150.81827478793625
Allenopithecus_nigroviridis,1.3433986731182936,0.0787632073381813,1.1888193466487358,1.4979779995878515,0.0727356076774126,2.6140617385591747,22.0494963126926,15.446117941615016,31.475888600693317
Allocebus_trichotis,2.644316600203598,0.12581814128523774,2.3973880634565212,2.8912451369506744,1.3591459656324967,3.929487234774699,440.8761446140714,249.68247660676028,778.4758367159872
Allochrocebus_lhoesti,1.3169525744934907,0.07986376820484392,1.1602133060503028,1.4736918429366785,0.046024938482714495,2.5878802105042666,20.746869466465917,14.461498805687787,29.764037493076742
Allochrocebus_preussi,1.3219867136433283,0.07965309954031613,1.1656608999256588,1.4783125273609978,0.05111000139373867,2.5928634258929177,20.988756718075432,14.64403977896959,30.08240316331302
Allochrocebus_solatus,1.2762944479440912,0.0815847273816659,1.116177654392098,1.4364112414960843,0.0049458548032461636,2.5476430410849362,18.89271825109318,13.06705305381721,27.3156312632342
Allocricetulus_curtatus,2.8514742248002545,0.04760772806780442,2.758040110215898,2.944908339384611,1.5867925290870615,4.116155920513448,710.3530095914927,572.848935257954,880.8629416557596
Allocricetulus_eversmanni,2.7822490889908362,0.05993271138933653,2.66462617249024,2.8998720054914324,1.515550621244885,4.048947556736787,605.6881667483109,461.98318909424233,794.094166192901
Alouatta_arctoidea,0.9980066271853474,0.03598813890258135,0.9273769199850264,1.0686363343856684,-0.26519502466721323,2.261208279037908,9.954206070138499,8.460127729419211,11.712142139677175
Alouatta_belzebul,0.9548981618328893,0.03638300159646523,0.883493503848677,1.0263028198171018,-0.3083470569926865,2.218143380658465,9.013597520322996,7.647042499520818,10.624361021069763
Alouatta_caraya,0.976915613072193,0.03617387045832416,0.9059213922904532,1.0479098338539328,-0.28630647234598117,2.240137698490367,9.482341958312574,8.05232680135838,11.166313940364052
Alouatta_discolor,0.9603373061664682,0.03632990425326519,0.8890368561218074,1.031637756211129,-0.3029020266127189,2.223576638945655,9.127194515694853,7.745275247936464,10.755677114189705
Alouatta_guariba,0.9888979455548301,0.03606658414070581,0.9181142830689917,1.0596816080406686,-0.2743123237902001,2.2521082148998604,9.747605527516736,8.281600624558882,11.473121903307895
Alouatta_macconnelli,0.9132623830496569,0.03682008701341265,0.8409999086858841,0.9855248574134297,-0.3500316139696471,2.176556380068961,8.189594206506488,6.934256602178994,9.672190851167661
Alouatta_nigerrima,0.9097259302848673,0.03685967295993575,0.837385765218062,0.9820660953516726,-0.35357251315030425,2.1730243737200388,8.123177259727097,6.876790046598863,9.595466539738688
Alouatta_palliata,0.9227346336973277,0.03671593785558161,0.8506765606931995,0.9947927067014558,-0.34054768771341015,2.1860169551080655,8.370176841883948,7.090495091194251,9.880813605162537
Alouatta_pigra,0.9324062606007026,0.03661244094291256,0.8605513088709961,1.0042612123304093,-0.3308644909770868,2.195677012178492,8.558669589384024,7.253561688132161,10.09860097558631
Alouatta_sara,0.9467567620929516,0.03646422280980135,0.8751927007416489,1.0183208234442542,-0.3164974769978688,2.210011001183772,8.846200166371665,7.502270186133599,10.43087698016432
Alouatta_seniculus,0.9650828707560217,0.03628434393756709,0.8938718366093716,1.0362939049026718,-0.2981514183163061,2.2283171598283493,9.227474862337544,7.831984812166955,10.871611012676743
Alouatta_ululata,0.944071809051481,0.03649146530219615,0.8724542820495521,1.0156893360534098,-0.31918546002624204,2.207329078129204,8.791678721014733,7.455113883072757,10.367865058244462
Alticola_albicaudus,2.885419184910168,0.04365218647534346,2.7997481487459117,2.971090221074424,1.6212873151508094,4.1495510546695265,768.1025110831888,630.5915527464786,935.6000170993327
Alticola_argentatus,2.8700808040470585,0.04522255641619735,2.7813277866384003,2.9588338214557166,1.6057363273307736,4.1344252807633435,741.4481809777693,604.4046356721677,909.5651698036077
Alticola_barakshin,2.8759059659512136,0.04458142341144255,2.7884112252354645,2.9634007066669628,1.6116491932358168,4.140162738666611,751.4601691950342,614.343440036971,919.1802973474354
Alticola_lemminus,2.939753515288348,0.04151459591038693,2.8582776778845984,3.0212293526920977,1.6758990261225752,4.203608004454121,870.4694130577167,721.5686861159672,1050.0968426826507
Alticola_macrotis,2.8736977109383095,0.04481819785331382,2.785738280743975,2.961657141132644,1.6094086937179801,4.137986728158639,747.6489211028093,610.5739633030156,915.4974545627402
Alticola_montosa,2.920957780879306,0.041609194336871755,2.8392962862182496,3.0026192755403627,1.6570913095247917,4.18482425223382,833.6001438114806,690.7108628241746,1006.0493285443091
Alticola_olchonensis,2.8800447032041685,0.04415878419209936,2.793379427007115,2.966709979401222,1.6158450639848931,4.144244342423444,758.6556616615466,621.4117015344239,926.2110957195023
Alticola_roylei,2.8715499637392834,0.045055857670575364,2.7831241064437338,2.959975821034833,1.6072284105170473,4.13587151696152,743.9606475034427,606.9097387644747,911.9600653640712
Alticola_semicanus,2.843084155079005,0.0488367182252041,2.7472380453869216,2.938930264771088,1.5782219750582165,4.107946335099793,696.7615154568967,558.7763871929935,868.8209103834492
Alticola_stoliczkanus,2.8948101456655198,0.04288618286122297,2.810642455120946,2.9789778362100936,1.6307792687343265,4.158841022596713,784.8924393494773,646.610057040073,952.7475402532958
Alticola_strelzowi,2.847946977174933,0.048113523551365035,2.753520197006956,2.9423737573429096,1.5831915563457806,4.112702398004085,704.6070385475942,566.917935614207,875.7371174593853
Alticola_tuvinicus,2.8800447032041685,0.04415878419209936,2.793379427007115,2.966709979401222,1.6158450639848931,4.144244342423444,758.6556616615466,621.4117015344239,926.2110957195023
Amblyrhiza_inundata,0.9684023525472448,0.08033023250162737,0.81074760923634,1.1260570958581497,-0.30263851060085323,2.239443215695343,9.298274273913247,6.467666372951384,13.367712477331093
Amblysomus_corriae,2.5831125471850918,0.09644680278556236,2.393827698096584,2.7723973962735995,1.3077621593315052,3.8584629350386783,382.92396500247355,247.64393606661315,592.1031837168576
Amblysomus_hottentotus,2.5817317814607534,0.0966013852775033,2.3921435514118228,2.771320011509684,1.3063363311486078,3.857127231772899,381.70845640880367,246.68545949815606,590.6361323054822
