Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Episoriculus_leucops,Eulipotyphla,Soricidae,0.9138138523837167,2.7967751573501602,2.7917452673801573,0.4253894810129752,1.9382059394769007,3.6021141238470977,626.2895385219769,619.077852453382,86.73730806455484,4000.4986100003384
Episoriculus_macrurus,Eulipotyphla,Soricidae,1.1335389083702174,2.692147142859425,2.684340182855576,0.4274938911367697,1.8610401947194402,3.5516074665129835,492.2062713263527,483.43733021715457,72.61731629307144,3561.2910356192715
Epixerus_ebii,Rodentia,Sciuridae,2.77232170672292,2.266079103199052,2.2599262380291507,0.4122209292734635,1.4601150054550158,3.09176293884076,184.53515043022185,181.93918210114276,28.84795324194973,1235.272971318285
Equus_africanus,Perissodactyla,Equidae,5.439332693830263,0.2794480101048132,0.2795336288573434,0.2523059944957677,-0.21360986867769727,0.7820395370395319,1.903040408769421,1.9034156196335208,0.6114910871596859,6.053959859205123
Equus_ferus,Perissodactyla,Equidae,5.301029995663981,0.3331900403970979,0.33224581678840126,0.3067007608167645,-0.23333899649771678,0.9684145146548813,2.1537239641034613,2.1490465205216283,0.5843337936591487,9.298534669107601
Equus_francisci,Perissodactyla,Equidae,5.565375502714073,0.20647304961472734,0.20624107207648407,0.28669668022928263,-0.3476146566294257,0.7840632078949923,1.6086925464818764,1.607833495991507,0.44914373208620895,6.082235166347047
Equus_grevyi,Perissodactyla,Equidae,5.544068044350276,0.21531012943844774,0.2162662879019974,0.2431841906440486,-0.24546710469235544,0.7007089701248503,1.641761735807212,1.6453802798142396,0.5682414309480635,5.020060719441138
Equus_hemionus,Perissodactyla,Equidae,5.301029995663981,0.3191128801500611,0.31970323012959195,0.24418481768420217,-0.13139233889019358,0.8300098756963963,2.085032746360511,2.0878689233540277,0.7389374220396028,6.760983494443733
Equus_hydruntinus,Perissodactyla,Equidae,5.3562745009039086,0.3174910447924831,0.3175416266370014,0.2626777354988927,-0.1950037939917154,0.8399947176498348,2.0772608917468536,2.0775028423376707,0.6382579103522583,6.918225561879855
Equus_kiang,Perissodactyla,Equidae,5.3979400086720375,0.29197474334725976,0.29013515520264915,0.26870995393929187,-0.24482477169271555,0.796957871948125,1.9587307590465863,1.9504514982189112,0.5690824968461703,6.265530839298009
