Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.geo.mean,density.mean,lower.95hpd,upper.95hpd
Neotamias_amoenus,Rodentia,Sciuridae,1.7032913781186614,2.4465107380360407,0.25646221879263104,1.9446224581887712,2.9378067095843172,279.5829854295182,332.6199716414371,88.02832905276605,866.576104944491
Neotamias_bulleri,Rodentia,Sciuridae,2,2.367031157955616,0.2679575820005847,1.8550460549510397,2.899553574419733,232.8258289873012,282.52605392325717,71.62193579854934,793.5121381274541
Neotamias_canipes,Rodentia,Sciuridae,1.8475726591421122,2.446647288036281,0.2743148351534606,1.9242677008117872,3.0002100405227816,279.67090517228394,343.07954108049927,83.99775924385742,1000.4837531475137
Neotamias_cinereicollis,Rodentia,Sciuridae,1.7902851640332418,2.480394025380759,0.2401495909065399,2.025023696288885,2.9582894460474467,302.269289635727,352.3717370800034,105.93115225201174,908.4257707642903
Neotamias_dorsalis,Rodentia,Sciuridae,1.8518696007297664,2.4477996293972,0.24725341167385387,1.971997681767735,2.946245131738787,280.4139592555622,330.00680174424923,93.75570023016343,883.5784838085397
Neotamias_durangae,Rodentia,Sciuridae,1.9294189257142926,2.398839582068157,0.2738127595528054,1.8698231926921547,2.9387368655049055,250.51837275187154,307.1645361418721,74.10085050433656,868.4340946954745
Neotamias_merriami,Rodentia,Sciuridae,1.8739015978644613,2.404467201157358,0.2905272982183453,1.8393520100969616,2.973919300961109,253.78573143459394,321.1731106400052,69.07994929111369,941.7145942447297
Neotamias_minimus,Rodentia,Sciuridae,2.131297796597623,2.2658703231038637,0.2815017136950574,1.7179655277353345,2.821608952441134,184.44645944132134,227.94015184083784,52.23547252786394,663.1456916671351
Neotamias_obscurus,Rodentia,Sciuridae,1.863322860120456,2.4072997467974333,0.29057733574683875,1.847898375413648,2.974003903316832,255.4463766123656,323.16551015193727,70.45281906036213,941.8980620000488
Neotamias_ochrogenys,Rodentia,Sciuridae,1.9623693356700211,2.354024634771327,0.26091356913064195,1.8743216618877712,2.8826367520626595,225.95639373161524,271.32487345144756,74.87238404071056,763.1971713434785
Neotamias_palmeri,Rodentia,Sciuridae,1.841359470454855,2.4519236735109544,0.2446822909078301,1.9665509730100257,2.9146895368841657,283.08944273757083,331.8554937150465,92.58720480618989,821.6550652478586
Neotamias_panamintinus,Rodentia,Sciuridae,1.7185016888672742,2.4605613639886377,0.30620257694898223,1.8705157188892052,3.0804795998380077,288.7761778990485,374.37118310826963,74.21910601753312,1203.5928519652412
Neotamias_quadrimaculatus,Rodentia,Sciuridae,1.9304395947667001,2.215128919937006,0.27140034438938404,1.678955736437362,2.7411329807605114,164.1076853129476,198.4035551843306,47.74806060584516,550.9763792798865
Neotamias_quadrivittatus,Rodentia,Sciuridae,1.7937903846908188,2.4738445269884273,0.2517719979229695,1.9501786590544237,2.9356672965759416,297.74503416484066,352.6451958805955,89.16176542971624,862.3176921006368
Neotamias_ruficaudus,Rodentia,Sciuridae,1.8325089127062364,2.3984460291083134,0.2665860155431201,1.8456308543747335,2.889679432970479,250.291458542562,303.4901086761237,70.085932230481,775.6743545349939
