"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Genus.1.1","Species.1.1","Genus.1.0","Species.1.0","EltonTraits.1.0.Genus","EltonTraits.1.0.Species","EltonTraits.1.0.Status","Departure.From.IUCN.2016.3.Taxonomy","Intrafamily.Ages.Generated.From.Genetic.Data","Analyzed.Intrafamily.Phylogeny","Included.In.Small.Tree","Hierachical.Level","Markers","Bases","Placement","Placement.Source","Taxonomy.Source","Dating.Source"
"Dobsonia_crenulata","Chiroptera","Pteropodidae","Dobsonia","crenulata","Dobsonia","crenulata","Dobsonia","crenulata","Dobsonia","crenulata","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_emersa","Chiroptera","Pteropodidae","Dobsonia","emersa","Dobsonia","emersa","Dobsonia","emersa","Dobsonia","emersa","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_exoleta","Chiroptera","Pteropodidae","Dobsonia","exoleta","Dobsonia","exoleta","Dobsonia","exoleta","Dobsonia","exoleta","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_inermis","Chiroptera","Pteropodidae","Dobsonia","inermis","Dobsonia","inermis","Dobsonia","inermis","Dobsonia","inermis","000 Exact match","000 None","No","Version 1.0","Yes","2",5,7725,NA,NA,NA,NA
"Dobsonia_minor","Chiroptera","Pteropodidae","Dobsonia","minor","Dobsonia","minor","Dobsonia","minor","Dobsonia","minor","000 Exact match","000 None","No","Version 1.0","Yes","2",4,6417,NA,NA,NA,NA
"Dobsonia_moluccensis","Chiroptera","Pteropodidae","Dobsonia","moluccensis","Dobsonia","moluccensis","Dobsonia","moluccensis","Dobsonia","moluccensis","000 Exact match","000 None","No","Version 1.0","Yes","2",5,8919,NA,NA,NA,NA
"Dobsonia_moluccensis","Chiroptera","Pteropodidae","Dobsonia","moluccensis","Dobsonia","moluccensis","Dobsonia","moluccensis","Dobsonia","magna","000 Species is a synonym of a species accepted by us","000 None","No","Version 1.0","Yes","2",5,8919,NA,NA,NA,NA
"Dobsonia_pannietensis","Chiroptera","Pteropodidae","Dobsonia","pannietensis","Dobsonia","pannietensis","Dobsonia","pannietensis","Dobsonia","pannietensis","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_peronii","Chiroptera","Pteropodidae","Dobsonia","peronii","Dobsonia","peronii","Dobsonia","peronii","Dobsonia","peronii","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_praedatrix","Chiroptera","Pteropodidae","Dobsonia","praedatrix","Dobsonia","praedatrix","Dobsonia","praedatrix","Dobsonia","praedatrix","000 Exact match","000 None","No","Version 1.0","Yes","2",5,9089,NA,NA,NA,NA
"Dobsonia_viridis","Chiroptera","Pteropodidae","Dobsonia","viridis","Dobsonia","viridis","Dobsonia","viridis","Dobsonia","viridis","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Doedicurus_clavicaudatus","Cingulata","CingulataFam","Doedicurus","clavicaudatus","Doedicurus","clavicaudatus","Doedicurus","clavicaudatus","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Added","Yes","Version 1.1","Yes","4",0,0,"Genus sister to Glyptodon. Glyptodonts sister to Chlamyphorinae and Tolypeutinae","Journal of Vertebrate Paleontology 29: 881-893 (2009); Current Biology 26 R155-R156","Proceedings of the National Academy of Science 109: 4527-4531 (2012)","Proceedings of the National Academy of Science 109: 4527-4531 (2012)"
"Dolichotis_patagonum","Rodentia","Caviidae","Dolichotis","patagonum","Dolichotis","patagonum","Dolichotis","patagonum","Dolichotis","patagonum","000 Exact match","000 None","Yes","Version 1.1","Yes","2",4,3028,NA,NA,NA,NA
"Dolichotis_salinicola","Rodentia","Caviidae","Dolichotis","salinicola","Dolichotis","salinicola","Dolichotis","salinicola","Dolichotis","salinicola","000 Exact match","000 None","Yes","Version 1.1","Yes","2",3,2878,NA,NA,NA,NA
"Dologale_dybowskii","Carnivora","Herpestidae","Dologale","dybowskii","Dologale","dybowskii","Dologale","dybowskii","Dologale","dybowskii","000 Exact match","000 None","No","Version 1.0","Yes","4",0,0,"Sister to Helogale","BMC Biology 10:12 (2012)",NA,NA
"Dorcatragus_megalotis","Cetartiodactyla","Bovidae","Dorcatragus","megalotis","Dorcatragus","megalotis","Dorcatragus","megalotis","Dorcatragus","megalotis","000 Exact match","000 None","No","Version 1.0","Yes","2",1,1140,NA,NA,NA,NA
"Dorcopsis_atrata","Diprotodontia","Macropodidae","Dorcopsis","atrata","Dorcopsis","atrata","Dorcopsis","atrata","Dorcopsis","atrata","000 Exact match","000 None","No","Version 1.0","Yes","4",0,0,"Sister to another species in the genus ","Sister to another species in the genus ",NA,NA
"Dorcopsis_hageni","Diprotodontia","Macropodidae","Dorcopsis","hageni","Dorcopsis","hageni","Dorcopsis","hageni","Dorcopsis","hageni","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Sister to another species in the genus ","Sister to another species in the genus ",NA,NA
"Dorcopsis_luctuosa","Diprotodontia","Macropodidae","Dorcopsis","luctuosa","Dorcopsis","luctuosa","Dorcopsis","luctuosa","Dorcopsis","luctuosa","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Sister to another species in the genus ","Sister to another species in the genus ",NA,NA
"Dorcopsis_muelleri","Diprotodontia","Macropodidae","Dorcopsis","muelleri","Dorcopsis","muelleri","Dorcopsis","muelleri","Dorcopsis","muelleri","000 Exact match","000 None","No","Version 1.0","Yes","2",6,6735,NA,NA,NA,NA
"Dorcopsulus_macleayi","Diprotodontia","Macropodidae","Dorcopsulus","macleayi","Dorcopsulus","macleayi","Dorcopsulus","macleayi","Dorcopsulus","macleayi","000 Exact match","000 None","No","Version 1.0","Yes","4",0,0,"Family","Family",NA,NA
"Dorcopsulus_vanheurni","Diprotodontia","Macropodidae","Dorcopsulus","vanheurni","Dorcopsulus","vanheurni","Dorcopsulus","vanheurni","Dorcopsulus","vanheurni","000 Exact match","000 None","No","Version 1.0","Yes","2",6,6397,NA,NA,NA,NA
"Dremomys_everetti","Rodentia","Sciuridae","Dremomys","everetti","Dremomys","everetti","Dremomys","everetti","Dremomys","everetti","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Sister to Dremomys rufigenis, Dremomys lokriah, Dremomys pernyi or Dremomys pyrrhomerus and Dremomys gularis","Nature 446, 507-512 (2007)",NA,NA
"Dremomys_gularis","Rodentia","Sciuridae","Dremomys","gularis","Dremomys","gularis","Dremomys","gularis","Dremomys","gularis","000 Exact match","000 None","No","Version 1.0","Yes","3",1,1140,NA,NA,NA,NA
"Dremomys_lokriah","Rodentia","Sciuridae","Dremomys","lokriah","Dremomys","lokriah","Dremomys","lokriah","Dremomys","lokriah","000 Exact match","000 None","No","Version 1.0","Yes","3",1,1140,NA,NA,NA,NA
"Dremomys_pernyi","Rodentia","Sciuridae","Dremomys","pernyi","Dremomys","pernyi","Dremomys","pernyi","Dremomys","pernyi","000 Exact match","000 None","No","Version 1.0","Yes","2",4,4867,NA,NA,NA,NA
"Dremomys_pyrrhomerus","Rodentia","Sciuridae","Dremomys","pyrrhomerus","Dremomys","pyrrhomerus","Dremomys","pyrrhomerus","Dremomys","pyrrhomerus","000 Exact match","000 None","No","Version 1.0","Yes","3",1,1140,NA,NA,NA,NA
"Dremomys_rufigenis","Rodentia","Sciuridae","Dremomys","rufigenis","Dremomys","rufigenis","Dremomys","rufigenis","Dremomys","rufigenis","000 Exact match","000 None","No","Version 1.0","Yes","3",1,1140,NA,NA,NA,NA
"Dromiciops_gliroides","Microbiotheria","Microbiotheriidae","Dromiciops","gliroides","Dromiciops","gliroides","Dromiciops","gliroides","Dromiciops","gliroides","000 Exact match","000 None","No","Only one species in family and therefore no intrafamily analysis","Yes","1",NA,NA,NA,NA,NA,NA
"Dryomys_laniger","Rodentia","Gliridae","Dryomys","laniger","Dryomys","laniger","Dryomys","laniger","Dryomys","laniger","000 Exact match","000 None","Yes","Version 1.1","Yes","2",5,5094,NA,NA,NA,NA
"Dryomys_niethammeri","Rodentia","Gliridae","Dryomys","niethammeri","Dryomys","niethammeri","Dryomys","niethammeri","Dryomys","niethammeri","000 Exact match","000 None","Yes","Version 1.1","No","4",0,0,"Sister to another species in the genus ","Taxonomy",NA,NA
"Dryomys_nitedula","Rodentia","Gliridae","Dryomys","nitedula","Dryomys","nitedula","Dryomys","nitedula","Dryomys","nitedula","000 Exact match","000 None","Yes","Version 1.1","Yes","2",2,1602,NA,NA,NA,NA
"Dugong_dugon","Sirenia","Dugongidae","Dugong","dugon","Dugong","dugon","Dugong","dugon","Dugong","dugon","000 Exact match","000 None","Yes","Version 1.1","Yes","2",1,600,NA,NA,NA,NA
"Dusicyon_australis","Carnivora","Canidae","Dusicyon","australis","Dusicyon","australis","Dusicyon","australis","Dusicyon","australis","000 Exact match","000 None","No","Version 1.0","Yes","2",1,684,NA,NA,NA,NA
